"","Expertos","Capitulos","Animes","Edad","Mujer","CantCaps","Scoremyanimelist","NEscenasCombate","NescenasEmocionantes","CalidadAnimacion","DuracionCapituloMin","RatingTV","Eleccion"
"9.3.3",9,3,3,30,0,148,9.07,8,4,9,46,6,0
"9.3.4",9,3,4,30,0,113,8.04,3,2,2,42,8,0
"9.4.1",9,4,1,30,0,575,8.15,14,4,2,43,22,0
"9.4.2",9,4,2,30,0,720,8.18,14,3,2,37,24,0
"9.4.3",9,4,3,30,0,148,9.07,10,2,8,43,37,1
"9.4.4",9,4,4,30,0,113,8.04,10,0,8,43,6,0
"9.5.1",9,5,1,30,0,575,8.15,7,6,4,49,8,0
"9.5.2",9,5,2,30,0,720,8.18,9,4,2,56,17,0
"9.5.3",9,5,3,30,0,148,9.07,14,4,5,30,27,0
"9.5.4",9,5,4,30,0,113,8.04,12,2,7,55,16,1
"9.6.1",9,6,1,30,0,575,8.15,3,4,4,34,22,1
"9.6.2",9,6,2,30,0,720,8.18,0,1,8,51,18,0
"9.6.3",9,6,3,30,0,148,9.07,12,1,7,35,15,0
"9.6.4",9,6,4,30,0,113,8.04,12,3,8,47,29,0
"9.7.1",9,7,1,30,0,575,8.15,5,6,4,32,34,1
"9.7.2",9,7,2,30,0,720,8.18,5,2,4,42,22,0
"9.7.3",9,7,3,30,0,148,9.07,2,3,1,34,6,0
"9.7.4",9,7,4,30,0,113,8.04,9,3,8,51,5,0
"9.8.1",9,8,1,30,0,575,8.15,4,6,4,54,6,0
"9.8.2",9,8,2,30,0,720,8.18,8,5,2,34,5,0
"9.8.3",9,8,3,30,0,148,9.07,10,2,5,57,38,0
"9.8.4",9,8,4,30,0,113,8.04,10,3,8,40,28,1
"9.9.1",9,9,1,30,0,575,8.15,6,5,5,37,14,0
"9.9.2",9,9,2,30,0,720,8.18,9,6,8,54,12,1
"9.9.3",9,9,3,30,0,148,9.07,5,6,6,32,18,0
"9.9.4",9,9,4,30,0,113,8.04,0,5,2,33,23,0
"9.10.1",9,10,1,30,0,575,8.15,5,2,4,41,26,1
"9.10.2",9,10,2,30,0,720,8.18,11,1,3,41,11,0
"9.10.3",9,10,3,30,0,148,9.07,5,1,3,40,18,0
"9.10.4",9,10,4,30,0,113,8.04,0,6,9,49,37,0
"9.11.1",9,11,1,30,0,575,8.15,2,3,4,36,13,0
"9.11.2",9,11,2,30,0,720,8.18,3,3,7,42,10,0
"9.11.3",9,11,3,30,0,148,9.07,10,6,3,57,33,1
"9.11.4",9,11,4,30,0,113,8.04,0,1,9,44,25,0
"9.12.1",9,12,1,30,0,575,8.15,11,5,5,37,7,0
"9.12.2",9,12,2,30,0,720,8.18,8,3,1,43,37,1
"9.12.3",9,12,3,30,0,148,9.07,11,0,7,59,5,0
"9.12.4",9,12,4,30,0,113,8.04,2,0,2,30,38,0
"10.1.1",10,1,1,35,0,575,8.15,1,6,7,37,5,0
"10.1.2",10,1,2,35,0,720,8.18,3,2,7,35,31,1
"10.1.3",10,1,3,35,0,148,9.07,14,3,8,57,36,0
"10.1.4",10,1,4,35,0,113,8.04,2,3,3,57,17,0
"10.2.1",10,2,1,35,0,575,8.15,8,0,2,50,30,0
"10.2.2",10,2,2,35,0,720,8.18,4,3,4,42,19,0
"10.2.3",10,2,3,35,0,148,9.07,2,5,3,46,35,1
"10.2.4",10,2,4,35,0,113,8.04,12,1,5,38,17,0
"10.3.1",10,3,1,35,0,575,8.15,10,5,3,54,34,1
"10.3.2",10,3,2,35,0,720,8.18,10,2,7,42,11,0
"10.3.3",10,3,3,35,0,148,9.07,8,4,9,46,6,0
"10.3.4",10,3,4,35,0,113,8.04,3,2,2,42,8,0
"10.4.1",10,4,1,35,0,575,8.15,14,4,2,43,22,0
"10.4.2",10,4,2,35,0,720,8.18,14,3,2,37,24,0
"10.4.3",10,4,3,35,0,148,9.07,10,2,8,43,37,1
"10.4.4",10,4,4,35,0,113,8.04,10,0,8,43,6,0
"10.5.1",10,5,1,35,0,575,8.15,7,6,4,49,8,0
"10.5.2",10,5,2,35,0,720,8.18,9,4,2,56,17,0
"10.5.3",10,5,3,35,0,148,9.07,14,4,5,30,27,0
"10.5.4",10,5,4,35,0,113,8.04,12,2,7,55,16,1
"10.6.1",10,6,1,35,0,575,8.15,3,4,4,34,22,1
"10.6.2",10,6,2,35,0,720,8.18,0,1,8,51,18,0
"10.6.3",10,6,3,35,0,148,9.07,12,1,7,35,15,0
"10.6.4",10,6,4,35,0,113,8.04,12,3,8,47,29,0
"10.7.1",10,7,1,35,0,575,8.15,5,6,4,32,34,1
"10.7.2",10,7,2,35,0,720,8.18,5,2,4,42,22,0
"10.7.3",10,7,3,35,0,148,9.07,2,3,1,34,6,0
"10.7.4",10,7,4,35,0,113,8.04,9,3,8,51,5,0
"10.8.1",10,8,1,35,0,575,8.15,4,6,4,54,6,0
"10.8.2",10,8,2,35,0,720,8.18,8,5,2,34,5,0
"10.8.3",10,8,3,35,0,148,9.07,10,2,5,57,38,0
"10.8.4",10,8,4,35,0,113,8.04,10,3,8,40,28,1
"10.9.1",10,9,1,35,0,575,8.15,6,5,5,37,14,0
"10.9.2",10,9,2,35,0,720,8.18,9,6,8,54,12,1
"10.9.3",10,9,3,35,0,148,9.07,5,6,6,32,18,0
"10.9.4",10,9,4,35,0,113,8.04,0,5,2,33,23,0
"10.10.1",10,10,1,35,0,575,8.15,5,2,4,41,26,1
"10.10.2",10,10,2,35,0,720,8.18,11,1,3,41,11,0
"10.10.3",10,10,3,35,0,148,9.07,5,1,3,40,18,0
"10.10.4",10,10,4,35,0,113,8.04,0,6,9,49,37,0
"10.11.1",10,11,1,35,0,575,8.15,2,3,4,36,13,0
"10.11.2",10,11,2,35,0,720,8.18,3,3,7,42,10,0
"10.11.3",10,11,3,35,0,148,9.07,10,6,3,57,33,1
"10.11.4",10,11,4,35,0,113,8.04,0,1,9,44,25,0
"10.12.1",10,12,1,35,0,575,8.15,11,5,5,37,7,0
"10.12.2",10,12,2,35,0,720,8.18,8,3,1,43,37,1
"10.12.3",10,12,3,35,0,148,9.07,11,0,7,59,5,0
"10.12.4",10,12,4,35,0,113,8.04,2,0,2,30,38,0
"11.1.1",11,1,1,25,1,575,8.15,1,6,7,37,5,0
"11.1.2",11,1,2,25,1,720,8.18,3,2,7,35,31,1
"11.1.3",11,1,3,25,1,148,9.07,14,3,8,57,36,0
"11.1.4",11,1,4,25,1,113,8.04,2,3,3,57,17,0
"11.2.1",11,2,1,25,1,575,8.15,8,0,2,50,30,0
"11.2.2",11,2,2,25,1,720,8.18,4,3,4,42,19,0
"11.2.3",11,2,3,25,1,148,9.07,2,5,3,46,35,1
"11.2.4",11,2,4,25,1,113,8.04,12,1,5,38,17,0
"11.3.1",11,3,1,25,1,575,8.15,10,5,3,54,34,1
"11.3.2",11,3,2,25,1,720,8.18,10,2,7,42,11,0
"11.3.3",11,3,3,25,1,148,9.07,8,4,9,46,6,0
"11.3.4",11,3,4,25,1,113,8.04,3,2,2,42,8,0
"11.4.1",11,4,1,25,1,575,8.15,14,4,2,43,22,0
"11.4.2",11,4,2,25,1,720,8.18,14,3,2,37,24,0
"11.4.3",11,4,3,25,1,148,9.07,10,2,8,43,37,1
"11.4.4",11,4,4,25,1,113,8.04,10,0,8,43,6,0
"11.5.1",11,5,1,25,1,575,8.15,7,6,4,49,8,0
"11.5.2",11,5,2,25,1,720,8.18,9,4,2,56,17,0
"11.5.3",11,5,3,25,1,148,9.07,14,4,5,30,27,0
"11.5.4",11,5,4,25,1,113,8.04,12,2,7,55,16,1
"11.6.1",11,6,1,25,1,575,8.15,3,4,4,34,22,1
"11.6.2",11,6,2,25,1,720,8.18,0,1,8,51,18,0
"11.6.3",11,6,3,25,1,148,9.07,12,1,7,35,15,0
"11.6.4",11,6,4,25,1,113,8.04,12,3,8,47,29,0
"11.7.1",11,7,1,25,1,575,8.15,5,6,4,32,34,1
"11.7.2",11,7,2,25,1,720,8.18,5,2,4,42,22,0
"11.7.3",11,7,3,25,1,148,9.07,2,3,1,34,6,0
"11.7.4",11,7,4,25,1,113,8.04,9,3,8,51,5,0
"11.8.1",11,8,1,25,1,575,8.15,4,6,4,54,6,0
"11.8.2",11,8,2,25,1,720,8.18,8,5,2,34,5,0
"11.8.3",11,8,3,25,1,148,9.07,10,2,5,57,38,0
"11.8.4",11,8,4,25,1,113,8.04,10,3,8,40,28,1
"11.9.1",11,9,1,25,1,575,8.15,6,5,5,37,14,0
"11.9.2",11,9,2,25,1,720,8.18,9,6,8,54,12,1
"11.9.3",11,9,3,25,1,148,9.07,5,6,6,32,18,0
"11.9.4",11,9,4,25,1,113,8.04,0,5,2,33,23,0
"11.10.1",11,10,1,25,1,575,8.15,5,2,4,41,26,1
"11.10.2",11,10,2,25,1,720,8.18,11,1,3,41,11,0
"11.10.3",11,10,3,25,1,148,9.07,5,1,3,40,18,0
"11.10.4",11,10,4,25,1,113,8.04,0,6,9,49,37,0
"11.11.1",11,11,1,25,1,575,8.15,2,3,4,36,13,0
"11.11.2",11,11,2,25,1,720,8.18,3,3,7,42,10,0
"11.11.3",11,11,3,25,1,148,9.07,10,6,3,57,33,1
"11.11.4",11,11,4,25,1,113,8.04,0,1,9,44,25,0
"11.12.1",11,12,1,25,1,575,8.15,11,5,5,37,7,0
"11.12.2",11,12,2,25,1,720,8.18,8,3,1,43,37,1
"11.12.3",11,12,3,25,1,148,9.07,11,0,7,59,5,0
"11.12.4",11,12,4,25,1,113,8.04,2,0,2,30,38,0
"12.1.1",12,1,1,46,1,575,8.15,1,6,7,37,5,0
"12.1.2",12,1,2,46,1,720,8.18,3,2,7,35,31,1
"12.1.3",12,1,3,46,1,148,9.07,14,3,8,57,36,0
"12.1.4",12,1,4,46,1,113,8.04,2,3,3,57,17,0
"12.2.1",12,2,1,46,1,575,8.15,8,0,2,50,30,0
"12.2.2",12,2,2,46,1,720,8.18,4,3,4,42,19,0
"12.2.3",12,2,3,46,1,148,9.07,2,5,3,46,35,1
"12.2.4",12,2,4,46,1,113,8.04,12,1,5,38,17,0
"12.3.1",12,3,1,46,1,575,8.15,10,5,3,54,34,1
"12.3.2",12,3,2,46,1,720,8.18,10,2,7,42,11,0
"12.3.3",12,3,3,46,1,148,9.07,8,4,9,46,6,0
"12.3.4",12,3,4,46,1,113,8.04,3,2,2,42,8,0
"12.4.1",12,4,1,46,1,575,8.15,14,4,2,43,22,0
"12.4.2",12,4,2,46,1,720,8.18,14,3,2,37,24,0
"12.4.3",12,4,3,46,1,148,9.07,10,2,8,43,37,1
"12.4.4",12,4,4,46,1,113,8.04,10,0,8,43,6,0
"12.5.1",12,5,1,46,1,575,8.15,7,6,4,49,8,0
"12.5.2",12,5,2,46,1,720,8.18,9,4,2,56,17,0
"12.5.3",12,5,3,46,1,148,9.07,14,4,5,30,27,0
"12.5.4",12,5,4,46,1,113,8.04,12,2,7,55,16,1
"12.6.1",12,6,1,46,1,575,8.15,3,4,4,34,22,1
"12.6.2",12,6,2,46,1,720,8.18,0,1,8,51,18,0
"12.6.3",12,6,3,46,1,148,9.07,12,1,7,35,15,0
"12.6.4",12,6,4,46,1,113,8.04,12,3,8,47,29,0
"12.7.1",12,7,1,46,1,575,8.15,5,6,4,32,34,1
"12.7.2",12,7,2,46,1,720,8.18,5,2,4,42,22,0
"12.7.3",12,7,3,46,1,148,9.07,2,3,1,34,6,0
"12.7.4",12,7,4,46,1,113,8.04,9,3,8,51,5,0
"12.8.1",12,8,1,46,1,575,8.15,4,6,4,54,6,0
"12.8.2",12,8,2,46,1,720,8.18,8,5,2,34,5,0
"12.8.3",12,8,3,46,1,148,9.07,10,2,5,57,38,0
"12.8.4",12,8,4,46,1,113,8.04,10,3,8,40,28,1
"12.9.1",12,9,1,46,1,575,8.15,6,5,5,37,14,0
"12.9.2",12,9,2,46,1,720,8.18,9,6,8,54,12,1
"12.9.3",12,9,3,46,1,148,9.07,5,6,6,32,18,0
"12.9.4",12,9,4,46,1,113,8.04,0,5,2,33,23,0
"12.10.1",12,10,1,46,1,575,8.15,5,2,4,41,26,1
"12.10.2",12,10,2,46,1,720,8.18,11,1,3,41,11,0
"12.10.3",12,10,3,46,1,148,9.07,5,1,3,40,18,0
"12.10.4",12,10,4,46,1,113,8.04,0,6,9,49,37,0
"12.11.1",12,11,1,46,1,575,8.15,2,3,4,36,13,0
"12.11.2",12,11,2,46,1,720,8.18,3,3,7,42,10,0
"12.11.3",12,11,3,46,1,148,9.07,10,6,3,57,33,1
"12.11.4",12,11,4,46,1,113,8.04,0,1,9,44,25,0
"12.12.1",12,12,1,46,1,575,8.15,11,5,5,37,7,0
"12.12.2",12,12,2,46,1,720,8.18,8,3,1,43,37,1
"12.12.3",12,12,3,46,1,148,9.07,11,0,7,59,5,0
"12.12.4",12,12,4,46,1,113,8.04,2,0,2,30,38,0
"13.1.1",13,1,1,38,0,575,8.15,1,6,7,37,5,0
"13.1.2",13,1,2,38,0,720,8.18,3,2,7,35,31,1
"13.1.3",13,1,3,38,0,148,9.07,14,3,8,57,36,0
"13.1.4",13,1,4,38,0,113,8.04,2,3,3,57,17,0
"13.2.1",13,2,1,38,0,575,8.15,8,0,2,50,30,0
"13.2.2",13,2,2,38,0,720,8.18,4,3,4,42,19,0
"13.2.3",13,2,3,38,0,148,9.07,2,5,3,46,35,1
"13.2.4",13,2,4,38,0,113,8.04,12,1,5,38,17,0
"13.3.1",13,3,1,38,0,575,8.15,10,5,3,54,34,1
"13.3.2",13,3,2,38,0,720,8.18,10,2,7,42,11,0
"13.3.3",13,3,3,38,0,148,9.07,8,4,9,46,6,0
"13.3.4",13,3,4,38,0,113,8.04,3,2,2,42,8,0
"13.4.1",13,4,1,38,0,575,8.15,14,4,2,43,22,0
"13.4.2",13,4,2,38,0,720,8.18,14,3,2,37,24,0
"13.4.3",13,4,3,38,0,148,9.07,10,2,8,43,37,1
"13.4.4",13,4,4,38,0,113,8.04,10,0,8,43,6,0
"13.5.1",13,5,1,38,0,575,8.15,7,6,4,49,8,0
"13.5.2",13,5,2,38,0,720,8.18,9,4,2,56,17,0
"13.5.3",13,5,3,38,0,148,9.07,14,4,5,30,27,0
"13.5.4",13,5,4,38,0,113,8.04,12,2,7,55,16,1
"13.6.1",13,6,1,38,0,575,8.15,3,4,4,34,22,1
"13.6.2",13,6,2,38,0,720,8.18,0,1,8,51,18,0
"13.6.3",13,6,3,38,0,148,9.07,12,1,7,35,15,0
"13.6.4",13,6,4,38,0,113,8.04,12,3,8,47,29,0
"13.7.1",13,7,1,38,0,575,8.15,5,6,4,32,34,1
"13.7.2",13,7,2,38,0,720,8.18,5,2,4,42,22,0
"13.7.3",13,7,3,38,0,148,9.07,2,3,1,34,6,0
"13.7.4",13,7,4,38,0,113,8.04,9,3,8,51,5,0
"13.8.1",13,8,1,38,0,575,8.15,4,6,4,54,6,0
"13.8.2",13,8,2,38,0,720,8.18,8,5,2,34,5,0
"13.8.3",13,8,3,38,0,148,9.07,10,2,5,57,38,0
"13.8.4",13,8,4,38,0,113,8.04,10,3,8,40,28,1
"13.9.1",13,9,1,38,0,575,8.15,6,5,5,37,14,0
"13.9.2",13,9,2,38,0,720,8.18,9,6,8,54,12,1
"13.9.3",13,9,3,38,0,148,9.07,5,6,6,32,18,0
"13.9.4",13,9,4,38,0,113,8.04,0,5,2,33,23,0
"13.10.1",13,10,1,38,0,575,8.15,5,2,4,41,26,1
"13.10.2",13,10,2,38,0,720,8.18,11,1,3,41,11,0
"13.10.3",13,10,3,38,0,148,9.07,5,1,3,40,18,0
"13.10.4",13,10,4,38,0,113,8.04,0,6,9,49,37,0
"13.11.1",13,11,1,38,0,575,8.15,2,3,4,36,13,0
"13.11.2",13,11,2,38,0,720,8.18,3,3,7,42,10,0
"13.11.3",13,11,3,38,0,148,9.07,10,6,3,57,33,1
"13.11.4",13,11,4,38,0,113,8.04,0,1,9,44,25,0
"13.12.1",13,12,1,38,0,575,8.15,11,5,5,37,7,0
"13.12.2",13,12,2,38,0,720,8.18,8,3,1,43,37,1
"13.12.3",13,12,3,38,0,148,9.07,11,0,7,59,5,0
"13.12.4",13,12,4,38,0,113,8.04,2,0,2,30,38,0
"14.1.1",14,1,1,27,1,575,8.15,1,6,7,37,5,0
"14.1.2",14,1,2,27,1,720,8.18,3,2,7,35,31,1
"14.1.3",14,1,3,27,1,148,9.07,14,3,8,57,36,0
"14.1.4",14,1,4,27,1,113,8.04,2,3,3,57,17,0
"14.2.1",14,2,1,27,1,575,8.15,8,0,2,50,30,0
"14.2.2",14,2,2,27,1,720,8.18,4,3,4,42,19,0
"14.2.3",14,2,3,27,1,148,9.07,2,5,3,46,35,1
"14.2.4",14,2,4,27,1,113,8.04,12,1,5,38,17,0
"14.3.1",14,3,1,27,1,575,8.15,10,5,3,54,34,1
"14.3.2",14,3,2,27,1,720,8.18,10,2,7,42,11,0
"14.3.3",14,3,3,27,1,148,9.07,8,4,9,46,6,0
"14.3.4",14,3,4,27,1,113,8.04,3,2,2,42,8,0
"14.4.1",14,4,1,27,1,575,8.15,14,4,2,43,22,0
"14.4.2",14,4,2,27,1,720,8.18,14,3,2,37,24,0
"14.4.3",14,4,3,27,1,148,9.07,10,2,8,43,37,1
"14.4.4",14,4,4,27,1,113,8.04,10,0,8,43,6,0
"14.5.1",14,5,1,27,1,575,8.15,7,6,4,49,8,0
"14.5.2",14,5,2,27,1,720,8.18,9,4,2,56,17,0
"14.5.3",14,5,3,27,1,148,9.07,14,4,5,30,27,0
"14.5.4",14,5,4,27,1,113,8.04,12,2,7,55,16,1
"14.6.1",14,6,1,27,1,575,8.15,3,4,4,34,22,1
"14.6.2",14,6,2,27,1,720,8.18,0,1,8,51,18,0
"14.6.3",14,6,3,27,1,148,9.07,12,1,7,35,15,0
"14.6.4",14,6,4,27,1,113,8.04,12,3,8,47,29,0
"14.7.1",14,7,1,27,1,575,8.15,5,6,4,32,34,1
"14.7.2",14,7,2,27,1,720,8.18,5,2,4,42,22,0
"14.7.3",14,7,3,27,1,148,9.07,2,3,1,34,6,0
"14.7.4",14,7,4,27,1,113,8.04,9,3,8,51,5,0
"14.8.1",14,8,1,27,1,575,8.15,4,6,4,54,6,0
"14.8.2",14,8,2,27,1,720,8.18,8,5,2,34,5,0
"14.8.3",14,8,3,27,1,148,9.07,10,2,5,57,38,0
"14.8.4",14,8,4,27,1,113,8.04,10,3,8,40,28,1
"14.9.1",14,9,1,27,1,575,8.15,6,5,5,37,14,0
"14.9.2",14,9,2,27,1,720,8.18,9,6,8,54,12,1
"14.9.3",14,9,3,27,1,148,9.07,5,6,6,32,18,0
"14.9.4",14,9,4,27,1,113,8.04,0,5,2,33,23,0
"14.10.1",14,10,1,27,1,575,8.15,5,2,4,41,26,1
"14.10.2",14,10,2,27,1,720,8.18,11,1,3,41,11,0
"14.10.3",14,10,3,27,1,148,9.07,5,1,3,40,18,0
"14.10.4",14,10,4,27,1,113,8.04,0,6,9,49,37,0
"14.11.1",14,11,1,27,1,575,8.15,2,3,4,36,13,0
"14.11.2",14,11,2,27,1,720,8.18,3,3,7,42,10,0
"14.11.3",14,11,3,27,1,148,9.07,10,6,3,57,33,1
"14.11.4",14,11,4,27,1,113,8.04,0,1,9,44,25,0
"14.12.1",14,12,1,27,1,575,8.15,11,5,5,37,7,0
"14.12.2",14,12,2,27,1,720,8.18,8,3,1,43,37,1
"14.12.3",14,12,3,27,1,148,9.07,11,0,7,59,5,0
"14.12.4",14,12,4,27,1,113,8.04,2,0,2,30,38,0
"15.1.1",15,1,1,35,0,575,8.15,1,6,7,37,5,0
"15.1.2",15,1,2,35,0,720,8.18,3,2,7,35,31,1
"15.1.3",15,1,3,35,0,148,9.07,14,3,8,57,36,0
"15.1.4",15,1,4,35,0,113,8.04,2,3,3,57,17,0
"15.2.1",15,2,1,35,0,575,8.15,8,0,2,50,30,0
"15.2.2",15,2,2,35,0,720,8.18,4,3,4,42,19,0
"15.2.3",15,2,3,35,0,148,9.07,2,5,3,46,35,1
"15.2.4",15,2,4,35,0,113,8.04,12,1,5,38,17,0
"15.3.1",15,3,1,35,0,575,8.15,10,5,3,54,34,1
"15.3.2",15,3,2,35,0,720,8.18,10,2,7,42,11,0
"15.3.3",15,3,3,35,0,148,9.07,8,4,9,46,6,0
"15.3.4",15,3,4,35,0,113,8.04,3,2,2,42,8,0
"15.4.1",15,4,1,35,0,575,8.15,14,4,2,43,22,0
"15.4.2",15,4,2,35,0,720,8.18,14,3,2,37,24,0
"15.4.3",15,4,3,35,0,148,9.07,10,2,8,43,37,1
"15.4.4",15,4,4,35,0,113,8.04,10,0,8,43,6,0
"15.5.1",15,5,1,35,0,575,8.15,7,6,4,49,8,0
"15.5.2",15,5,2,35,0,720,8.18,9,4,2,56,17,0
"15.5.3",15,5,3,35,0,148,9.07,14,4,5,30,27,0
"15.5.4",15,5,4,35,0,113,8.04,12,2,7,55,16,1
"15.6.1",15,6,1,35,0,575,8.15,3,4,4,34,22,1
"15.6.2",15,6,2,35,0,720,8.18,0,1,8,51,18,0
"15.6.3",15,6,3,35,0,148,9.07,12,1,7,35,15,0
"15.6.4",15,6,4,35,0,113,8.04,12,3,8,47,29,0
"15.7.1",15,7,1,35,0,575,8.15,5,6,4,32,34,1
"15.7.2",15,7,2,35,0,720,8.18,5,2,4,42,22,0
"15.7.3",15,7,3,35,0,148,9.07,2,3,1,34,6,0
"15.7.4",15,7,4,35,0,113,8.04,9,3,8,51,5,0
"15.8.1",15,8,1,35,0,575,8.15,4,6,4,54,6,0
"15.8.2",15,8,2,35,0,720,8.18,8,5,2,34,5,0
"15.8.3",15,8,3,35,0,148,9.07,10,2,5,57,38,0
"15.8.4",15,8,4,35,0,113,8.04,10,3,8,40,28,1
"15.9.1",15,9,1,35,0,575,8.15,6,5,5,37,14,0
"15.9.2",15,9,2,35,0,720,8.18,9,6,8,54,12,1
"15.9.3",15,9,3,35,0,148,9.07,5,6,6,32,18,0
"15.9.4",15,9,4,35,0,113,8.04,0,5,2,33,23,0
"15.10.1",15,10,1,35,0,575,8.15,5,2,4,41,26,1
"15.10.2",15,10,2,35,0,720,8.18,11,1,3,41,11,0
"15.10.3",15,10,3,35,0,148,9.07,5,1,3,40,18,0
"15.10.4",15,10,4,35,0,113,8.04,0,6,9,49,37,0
"15.11.1",15,11,1,35,0,575,8.15,2,3,4,36,13,0
"15.11.2",15,11,2,35,0,720,8.18,3,3,7,42,10,0
"15.11.3",15,11,3,35,0,148,9.07,10,6,3,57,33,1
"15.11.4",15,11,4,35,0,113,8.04,0,1,9,44,25,0
"15.12.1",15,12,1,35,0,575,8.15,11,5,5,37,7,0
"15.12.2",15,12,2,35,0,720,8.18,8,3,1,43,37,1
"15.12.3",15,12,3,35,0,148,9.07,11,0,7,59,5,0
"15.12.4",15,12,4,35,0,113,8.04,2,0,2,30,38,0
"16.1.1",16,1,1,30,1,575,8.15,1,6,7,37,5,0
"16.1.2",16,1,2,30,1,720,8.18,3,2,7,35,31,1
"16.1.3",16,1,3,30,1,148,9.07,14,3,8,57,36,0
"16.1.4",16,1,4,30,1,113,8.04,2,3,3,57,17,0
"16.2.1",16,2,1,30,1,575,8.15,8,0,2,50,30,0
"16.2.2",16,2,2,30,1,720,8.18,4,3,4,42,19,0
"16.2.3",16,2,3,30,1,148,9.07,2,5,3,46,35,1
"16.2.4",16,2,4,30,1,113,8.04,12,1,5,38,17,0
"16.3.1",16,3,1,30,1,575,8.15,10,5,3,54,34,1
"16.3.2",16,3,2,30,1,720,8.18,10,2,7,42,11,0
"16.3.3",16,3,3,30,1,148,9.07,8,4,9,46,6,0
"16.3.4",16,3,4,30,1,113,8.04,3,2,2,42,8,0
"16.4.1",16,4,1,30,1,575,8.15,14,4,2,43,22,0
"16.4.2",16,4,2,30,1,720,8.18,14,3,2,37,24,0
"16.4.3",16,4,3,30,1,148,9.07,10,2,8,43,37,1
"16.4.4",16,4,4,30,1,113,8.04,10,0,8,43,6,0
"16.5.1",16,5,1,30,1,575,8.15,7,6,4,49,8,0
"16.5.2",16,5,2,30,1,720,8.18,9,4,2,56,17,0
"16.5.3",16,5,3,30,1,148,9.07,14,4,5,30,27,0
"16.5.4",16,5,4,30,1,113,8.04,12,2,7,55,16,1
"16.6.1",16,6,1,30,1,575,8.15,3,4,4,34,22,1
"16.6.2",16,6,2,30,1,720,8.18,0,1,8,51,18,0
"16.6.3",16,6,3,30,1,148,9.07,12,1,7,35,15,0
"16.6.4",16,6,4,30,1,113,8.04,12,3,8,47,29,0
"16.7.1",16,7,1,30,1,575,8.15,5,6,4,32,34,1
"16.7.2",16,7,2,30,1,720,8.18,5,2,4,42,22,0
"16.7.3",16,7,3,30,1,148,9.07,2,3,1,34,6,0
"16.7.4",16,7,4,30,1,113,8.04,9,3,8,51,5,0
"16.8.1",16,8,1,30,1,575,8.15,4,6,4,54,6,0
"16.8.2",16,8,2,30,1,720,8.18,8,5,2,34,5,0
"16.8.3",16,8,3,30,1,148,9.07,10,2,5,57,38,0
"16.8.4",16,8,4,30,1,113,8.04,10,3,8,40,28,1
"16.9.1",16,9,1,30,1,575,8.15,6,5,5,37,14,0
"16.9.2",16,9,2,30,1,720,8.18,9,6,8,54,12,1
"16.9.3",16,9,3,30,1,148,9.07,5,6,6,32,18,0
"16.9.4",16,9,4,30,1,113,8.04,0,5,2,33,23,0
"16.10.1",16,10,1,30,1,575,8.15,5,2,4,41,26,1
"16.10.2",16,10,2,30,1,720,8.18,11,1,3,41,11,0
"16.10.3",16,10,3,30,1,148,9.07,5,1,3,40,18,0
"16.10.4",16,10,4,30,1,113,8.04,0,6,9,49,37,0
"16.11.1",16,11,1,30,1,575,8.15,2,3,4,36,13,0
"16.11.2",16,11,2,30,1,720,8.18,3,3,7,42,10,0
"16.11.3",16,11,3,30,1,148,9.07,10,6,3,57,33,1
"16.11.4",16,11,4,30,1,113,8.04,0,1,9,44,25,0
"16.12.1",16,12,1,30,1,575,8.15,11,5,5,37,7,0
"16.12.2",16,12,2,30,1,720,8.18,8,3,1,43,37,1
"16.12.3",16,12,3,30,1,148,9.07,11,0,7,59,5,0
"16.12.4",16,12,4,30,1,113,8.04,2,0,2,30,38,0
"17.1.1",17,1,1,25,1,575,8.15,1,6,7,37,5,0
"17.1.2",17,1,2,25,1,720,8.18,3,2,7,35,31,1
"17.1.3",17,1,3,25,1,148,9.07,14,3,8,57,36,0
"17.1.4",17,1,4,25,1,113,8.04,2,3,3,57,17,0
"17.2.1",17,2,1,25,1,575,8.15,8,0,2,50,30,0
"17.2.2",17,2,2,25,1,720,8.18,4,3,4,42,19,0
"17.2.3",17,2,3,25,1,148,9.07,2,5,3,46,35,1
"17.2.4",17,2,4,25,1,113,8.04,12,1,5,38,17,0
"17.3.1",17,3,1,25,1,575,8.15,10,5,3,54,34,1
"17.3.2",17,3,2,25,1,720,8.18,10,2,7,42,11,0
"17.3.3",17,3,3,25,1,148,9.07,8,4,9,46,6,0
"17.3.4",17,3,4,25,1,113,8.04,3,2,2,42,8,0
"17.4.1",17,4,1,25,1,575,8.15,14,4,2,43,22,0
"17.4.2",17,4,2,25,1,720,8.18,14,3,2,37,24,0
"17.4.3",17,4,3,25,1,148,9.07,10,2,8,43,37,1
"17.4.4",17,4,4,25,1,113,8.04,10,0,8,43,6,0
"17.5.1",17,5,1,25,1,575,8.15,7,6,4,49,8,0
"17.5.2",17,5,2,25,1,720,8.18,9,4,2,56,17,0
"17.5.3",17,5,3,25,1,148,9.07,14,4,5,30,27,0
"17.5.4",17,5,4,25,1,113,8.04,12,2,7,55,16,1
"17.6.1",17,6,1,25,1,575,8.15,3,4,4,34,22,1
"17.6.2",17,6,2,25,1,720,8.18,0,1,8,51,18,0
"17.6.3",17,6,3,25,1,148,9.07,12,1,7,35,15,0
